art_style,painting,emotion,utterance,repetition,utterance_spelled,tokens,tokens_len,split,tokens_encoded,emotion_label
Impressionism,eugene-boudin_boats-at-anchor-along-the-shore,contentment,This feels really peaceful because the water is so calm,6,this feels really peaceful because the water is so calm,"['this', 'feels', 'really', 'peaceful', 'because', 'the', 'water', 'is', 'so', 'calm']",10,train,"[1, 12, 119, 74, 90, 57, 4, 71, 8, 35, 109, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
Impressionism,t.-c.-steele_the-bloom-of-the-grape-1893,amusement,The branches of this tree is sticking out in all directions like it had a bad hair day.,6,the branches of this tree is sticking out in all directions like it had a bad hair day,"['the', 'branches', 'of', 'this', 'tree', 'is', 'sticking', 'out', 'in', 'all', 'directions', 'like', 'it', 'had', 'a', 'bad', 'hair', 'day']",18,train,"[1, 4, 1078, 7, 12, 193, 8, 2470, 49, 10, 64, 1936, 11, 14, 472, 6, 309, 200, 94, 2, 0, 0, 0, 0, 0]",0
Post_Impressionism,vincent-van-gogh_dog(1),disgust,"This dog does not look right, it looks like a mangled mess or a creature.",6,this dog does not look right it looks like a mangled mess or a creature,"['this', 'dog', 'does', 'not', 'look', 'right', 'it', 'looks', 'like', 'a', 'mangled', 'mess', 'or', 'a', 'creature']",15,train,"[1, 12, 303, 291, 46, 20, 216, 14, 15, 11, 6, 4962, 956, 51, 6, 673, 2, 0, 0, 0, 0, 0, 0, 0, 0]",4
Impressionism,nicolae-vermont_seaming-wench-1929,contentment,The care from the woman is quite intensely focused on the objects in her hand.,6,the care from the woman is quite intensely focused on the objects in her hand,"['the', 'care', 'from', 'the', 'woman', 'is', 'quite', 'intensely', 'focused', 'on', 'the', 'objects', 'in', 'her', 'hand']",15,train,"[1, 4, 544, 58, 4, 31, 8, 117, 4893, 1542, 18, 4, 649, 10, 27, 334, 2, 0, 0, 0, 0, 0, 0, 0, 0]",3
Impressionism,salvador-dali_landscape-1,awe,The large pillars far away pique my interest.,6,the large pillars far away pique my interest,"['the', 'large', 'pillars', 'far', 'away', 'pique', 'my', 'interest']",8,train,"[1, 4, 210, 2625, 699, 295, 6664, 105, 731, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Impressionism,valentin-serov_portrait-of-margarita-morozova-1910,amusement,I cannot get over how ridiculous the woman's hairstyle looks. It is so weird!,6,i cannot get over how ridiculous the woman's hairstyle looks it is so weird,"['i', 'cannot', 'get', 'over', 'how', 'ridiculous', 'the', ""woman's"", 'hairstyle', 'looks', 'it', 'is', 'so', 'weird']",14,train,"[1, 13, 864, 246, 120, 76, 1989, 4, 123, 2572, 15, 14, 8, 35, 331, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Impressionism,karoly-ferenczy_the-woman-painter-1903,awe,The woman's blue dress is quite lovely as it stands out among the rest of the scene.,6,the woman's blue dress is quite lovely as it stands out among the rest of the scene,"['the', ""woman's"", 'blue', 'dress', 'is', 'quite', 'lovely', 'as', 'it', 'stands', 'out', 'among', 'the', 'rest', 'of', 'the', 'scene']",17,train,"[1, 4, 123, 63, 157, 8, 117, 234, 32, 14, 416, 49, 849, 4, 522, 7, 4, 52, 2, 0, 0, 0, 0, 0, 0]",2
Impressionism,pierre-auguste-renoir_the-bridge-at-argenteuil-in-autumn-1882,sadness,The trees and grasses are both brown so they look dehydrated,6,the trees and grasses are both brown so they look dehydrated,"['the', 'trees', 'and', 'grasses', 'are', 'both', 'brown', 'so', 'they', 'look', 'dehydrated']",11,train,"[1, 4, 92, 5, 2392, 17, 403, 245, 35, 43, 20, 5874, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
Northern_Renaissance,hans-baldung_three-king-altar,amusement,The little tiny sheep on a leash is pretty funny,6,the little tiny sheep on a leash is pretty funny,"['the', 'little', 'tiny', 'sheep', 'on', 'a', 'leash', 'is', 'pretty', 'funny']",10,train,"[1, 4, 103, 716, 2137, 18, 6, 6380, 8, 186, 206, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Impressionism,julian-alden-weir_midday-1891,contentment,Watching the hens move freely about the homestead in the late afternoon with no worries other than finding the next seed to peck for.,6,watching the hens move freely about the homestead in the late afternoon with no worries other than finding the next seed to peck for,"['watching', 'the', 'hens', 'move', 'freely', 'about', 'the', 'homestead', 'in', 'the', 'late', 'afternoon', 'with', 'no', 'worries', 'other', 'than', 'finding', 'the', 'next', 'seed', 'to', 'peck', 'for']",24,train,"[1, 517, 4, 3, 1377, 4789, 72, 4, 6241, 10, 4, 1421, 943, 19, 134, 5420, 154, 327, 2377, 4, 402, 6899, 9, 6632, 2]",3
Romanticism,john-william-waterhouse_maidens-picking-flowers-by-a-stream,awe,The orange/red dress the girl is wearing stands out against the beige and green landscape and is a good contrast!,6,the orange red dress the girl is wearing stands out against the beige and green landscape and is a good contrast,"['the', 'orange', 'red', 'dress', 'the', 'girl', 'is', 'wearing', 'stands', 'out', 'against', 'the', 'beige', 'and', 'green', 'landscape', 'and', 'is', 'a', 'good', 'contrast']",21,train,"[1, 4, 213, 66, 157, 4, 158, 8, 242, 416, 49, 207, 4, 1447, 5, 100, 212, 5, 8, 6, 130, 144, 2, 0, 0]",2
