art_style,painting,emotion,utterance,repetition
Impressionism,eugene-boudin_boats-at-anchor-along-the-shore,contentment,This feels really peaceful because the water is so calm,6
Impressionism,t.-c.-steele_the-bloom-of-the-grape-1893,amusement,The branches of this tree is sticking out in all directions like it had a bad hair day.,6
Post_Impressionism,vincent-van-gogh_dog(1),disgust,"This dog does not look right, it looks like a mangled mess or a creature.",6
Impressionism,edgar-degas_two-horses-in-a-pasture,contentment,the light reflects beautifully on the brown skin of the horse on the right,7
Impressionism,edgar-degas_three-heads,something else,This creates a bit of interest as it makes one wonder who these men are.,7
Impressionism,joaquã­n-sorolla_boats-in-the-port-valencia-1904,something else,"Overwhelmed. All of the boats in this picture are not parked in a very ordely manner. They are a huge, jumbled mess. I don't like it.",6
Impressionism,nicolae-vermont_seaming-wench-1929,contentment,The care from the woman is quite intensely focused on the objects in her hand.,6
Impressionism,salvador-dali_landscape-1,awe,The large pillars far away pique my interest.,6
Impressionism,valentin-serov_portrait-of-margarita-morozova-1910,amusement,I cannot get over how ridiculous the woman's hairstyle looks. It is so weird!,6
Romanticism,orest-kiprensky_cher-de-angelis-1822,contentment,The facial hair on the man is quite funny but I appreciate his confident gaze.,6
Impressionism,karoly-ferenczy_the-woman-painter-1903,awe,The woman's blue dress is quite lovely as it stands out among the rest of the scene.,6
Impressionism,pierre-auguste-renoir_the-bridge-at-argenteuil-in-autumn-1882,sadness,The trees and grasses are both brown so they look dehydrated,6
Northern_Renaissance,hans-baldung_three-king-altar,amusement,The little tiny sheep on a leash is pretty funny,6
Impressionism,julian-alden-weir_midday-1891,contentment,Watching the hens move freely about the homestead in the late afternoon with no worries other than finding the next seed to peck for.,6
Romanticism,john-william-waterhouse_maidens-picking-flowers-by-a-stream,awe,The orange/red dress the girl is wearing stands out against the beige and green landscape and is a good contrast!,6
Realism,lovis-corinth_self-portrait-1888,contentment,The figures seem quite happy with one another and their warmth makes me happy.,6
Post_Impressionism,pyotr-konchalovsky_still-life-oranges-and-crumpled-paper-1946,awe,The citrus atop the table is absolutely beautiful as it strikes over the bland table design.,6
Post_Impressionism,vincent-van-gogh_still-life-with-red-cabbages-and-onions-1887,awe,"The garlic on the table is enormous, much more so than traditional heads of garlic",6
Expressionism,pyotr-konchalovsky_portrait-of-pyotr-konchalovsky-the-son-of-the-artist-1921,contentment,"You can just tell that the man reading his book is relaxed, and really getting into it. Reading is one of my favorite hobbies so I can certainly relate.",6
Impressionism,konstantin-korovin_paris-at-night-boulevard-des-italiens-1908,awe,The trees look like a giant sea of people gathered in the streets.,6
Realism,ivan-shishkin_covert-1894,excitement,Clear Proof: Bigfoot can be clearly spotted on the lower left between the left most tree and the second tree from the left in the dark shadows behind the bushes.,6
Impressionism,pierre-auguste-renoir_after-bathing-nude-study-1910,disgust,"The woman's butt is enormous, so she looks like a pig",6
Impressionism,zinaida-serebriakova_animal-farm-in-the-village-neskuchnoye,contentment,The animals here look like they are living the normal life of cattle. The world here just feels nice and calm.,6
Impressionism,eugene-boudin_cows-in-a-field,amusement,"The cows are cute, not entirely sure why someone wants a painting of them though.",6
Impressionism,konstantin-korovin_summer-office-of-prince-vasily-golitsyn-1911,awe,The large empty hall looks like a great place for a party.,6
Impressionism,edgar-degas_before-the-curtain-call-1892,awe,The woman's dress looks like it's glowing in the dark,6
Realism,odilon-redon_the-turquoise-vase,awe,the pink and blue flowers contrast well together with the teal vase,6
Romanticism,osman-hamdi_lady-who-fits-the-vase(1),awe,The vibrant yellow dress is quite stunning in the way it stands out.,6
Impressionism,john-henry-twachtman_snow-scene,sadness,"The tree looks like it is very tired and depressed, since it is bent over slightly.",6
Symbolism,viktor-vasnetsov_prince-andrey-bogolyubsky-1896,awe,The man looks really religious since he's holding a cross,11
Impressionism,pierre-auguste-renoir_woman-in-a-red-blouse,sadness,The woman is drooping her eyes like she's sad to be sitting there.,6
Impressionism,konstantin-korovin_in-conjunction-1886,contentment,The figures seem quite relaxed as they go about the day in quite an obscure way.,6
Romanticism,william-holman-hunt_the-festival-of-st-swithin-or-the-dovecote-1875,contentment,The birds under the small edifice give a sense of peace and calm.,6
Expressionism,pablo-picasso_untitled-1971-2,excitement,The naked people look like they're having a fun time dancing.,6
Impressionism,guy-rose_carmel-seascape,awe,The ocean is as blue as a sapphire.,6
Post_Impressionism,vincent-van-gogh_the-banks-of-the-seine-1887,contentment,A beautiful multi colored reflection in the water of the lush shoreline,6
Post_Impressionism,vincent-van-gogh_outskirts-of-paris-near-montmartre-1887,sadness,"This looks like a very dirty, depressing place to live. There's no color, the houses are literally on top of one another, and the air is permeated by that thick, dark smoke.",6
Realism,vincent-van-gogh_entrance-to-the-pawn-bank-the-hague-1882(1),sadness,The scene feels dull since everyone is wearing black,6
Expressionism,otto-dix_self-portrait,disgust,The man's eyes seem quite filled with evil intent as he stares onward.,7
Impressionism,pierre-auguste-renoir_la-grenouillere-1869-1,excitement,The people gather in large crowds for the next boat ride.,6
Impressionism,pierre-auguste-renoir_jean-renoir-in-a-chair-child-with-a-biscuit,contentment,The baby in this painting looks content and happy holding it's brush in one hand and a comb towards the mouth!,6
Realism,volodymyr-orlovsky_reaping-hiok,sadness,The people here are alone and working a hard life. It must be a burden to have such a life.,6
